nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
Pantalla Hisense 40 Pulgadas Full Hd Led Roku Smart Tv,3983.0,4799.0,17,,15,1,https://www.mercadolibre.com.mx/pantalla-hisense-40-pulgadas-full-hd-led-roku-smart-tv/p/MLM63161391,Televisores,2026-02-20 15:00:52
Pantalla 65 Tcl 4k Hdr Google Tv Mod 65s451g Negro,8549.0,10999.0,22,,15,0,https://www.mercadolibre.com.mx/pantalla-65-tcl-4k-hdr-google-tv-mod-65s451g-negro/p/MLM36223589,Televisores,2026-02-20 15:00:52
Pantalla Element 32 Pulgadas Led Hd Smart Xumo Tv,2999.0,,0,,15,1,https://www.mercadolibre.com.mx/pantalla-element-32-pulgadas-led-hd-smart-xumo-tv/p/MLM2064731667,Televisores,2026-02-20 15:00:52
Pantalla Smart Tv Aiwa Roku Led Full Hd (1080p) 40 Pulgadas,3355.0,5499.0,39,,15,0,https://www.mercadolibre.com.mx/pantalla-smart-tv-aiwa-roku-led-full-hd-1080p-40-pulgadas/p/MLM45749944,Televisores,2026-02-20 15:00:52
Pantalla Lg 48 Pulgadas C5 Series Oled Evo 4k Smart Webos Tv,32159.0,47999.0,33,,12,1,https://www.mercadolibre.com.mx/pantalla-lg-48-pulgadas-c5-series-oled-evo-4k-smart-webos-tv/up/MLMU3763444464,Televisores,2026-02-20 15:00:52
"Smart TV Xundefined 28"" 2K Android TV Wi-Fi HDMI USB Dolby Audio Negro",1764.0,2005.0,12,,24,0,https://www.mercadolibre.com.mx/smart-tv-xundefined-28-2k-android-tv-wi-fi-hdmi-usb-dolby-audio-negro/p/MLM44992376,Televisores,2026-02-20 15:00:52
Pantalla Hisense 65 Pulgadas S7 Canvas 4k Qled Smart Tv,20065.0,24999.0,20,,12,0,https://www.mercadolibre.com.mx/pantalla-hisense-65-pulgadas-s7-canvas-4k-qled-smart-tv/p/MLM49415921,Televisores,2026-02-20 15:00:52
Pantalla Insignia 24 Ns-24f401na26 Led Fhd Classf40 Firetv,1756.0,,0,,24,0,https://www.mercadolibre.com.mx/pantalla-insignia-24-ns-24f401na26-led-fhd-classf40-firetv/p/MLM64598364,Televisores,2026-02-20 15:00:52
Pantalla Rca 32 Pulgadas Led Hd Smart Tv Android,2382.0,2999.0,21,,15,0,https://www.mercadolibre.com.mx/pantalla-rca-32-pulgadas-led-hd-smart-tv-android/p/MLM59114631,Televisores,2026-02-20 15:00:52
Pantalla Samsung 65 Pulgadas Crystal Qled 4k Smart Tv Tizen,12799.0,,0,,15,1,https://www.mercadolibre.com.mx/pantalla-samsung-65-pulgadas-crystal-qled-4k-smart-tv-tizen/p/MLM53268642,Televisores,2026-02-20 15:00:52
Pantalla LG 50 Pulgadas Web Os Uhd Ai Series 4k Smart Tv,7593.0,11799.0,36,,15,1,https://www.mercadolibre.com.mx/pantalla-lg-50-pulgadas-web-os-uhd-ai-series-4k-smart-tv/p/MLM53384412,Televisores,2026-02-20 15:00:52
"Televisor Q3k Qled 40"" Negro Tcl",4199.0,5699.0,26,,12,0,https://www.mercadolibre.com.mx/televisor-q3k-qled-40-negro-tcl/p/MLM51180248,Televisores,2026-02-20 15:00:52
Pantalla Westinghouse 50 Pulgadas Qled Smart Roku Tv,8699.0,,0,,15,1,https://www.mercadolibre.com.mx/pantalla-westinghouse-50-pulgadas-qled-smart-roku-tv/p/MLM2064434657,Televisores,2026-02-20 15:00:52
Pantalla Lg 43 Pulgadas Ua7000 Series Led 4k Smart Webos Tv,6897.0,,0,,15,1,https://www.mercadolibre.com.mx/pantalla-lg-43-pulgadas-ua7000-series-led-4k-smart-webos-tv/up/MLMU3763436124,Televisores,2026-02-20 15:00:52
Pantalla Samsung 65 Pulgadas Crystal Series 4k Smart Tv,9549.0,13000.0,27,,15,1,https://www.mercadolibre.com.mx/pantalla-samsung-65-pulgadas-crystal-series-4k-smart-tv/p/MLM58675511,Televisores,2026-02-20 15:00:52
Smart Tv Motorola Pantalla 58 Pulgadas Google Tv Qled 4k,6899.0,14598.0,53,,3,0,https://www.mercadolibre.com.mx/smart-tv-motorola-pantalla-58-pulgadas-google-tv-qled-4k/p/MLM62574779,Televisores,2026-02-20 15:00:52
Pantalla Smart Tv Hikers 32 Pulgadas Led Hd Con Dolby/aac,2168.0,3555.0,39,,24,0,https://www.mercadolibre.com.mx/pantalla-smart-tv-hikers-32-pulgadas-led-hd-con-dolbyaac/p/MLM44640906,Televisores,2026-02-20 15:00:52
